Removed Pin From Net: NetName=+5 Pin=LED4-1
Removed Pin From Net: NetName=L_S Pin=R12-1
Removed Member From Class: ClassName=stm32+enc28 Member=LED4
Removed Member From Class: ClassName=stm32+enc28 Member=LED4
Removed Member From Class: ClassName=stm32+enc28 Member=R12
Removed Member From Class: ClassName=stm32+enc28 Member=R12
Removed Member From Class: ClassName=stm32+enc28 Member=R12
Removed Member From Class: ClassName=stm32+enc28 Member=R12
Removed Member From Class: ClassName=stm32+enc28 Member=R13
Removed Member From Class: ClassName=stm32+enc28 Member=R13
Removed Member From Class: ClassName=stm32+enc28 Member=R13
Removed Member From Class: ClassName=stm32+enc28 Member=R13
Removed Member From Class: ClassName=stm32+enc28 Member=R14
Removed Member From Class: ClassName=stm32+enc28 Member=R14
Removed Member From Class: ClassName=stm32+enc28 Member=R14
Removed Member From Class: ClassName=stm32+enc28 Member=R14
Added Room: Name=stm32+enc28
